index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,max_welfare_optimality,pareto_optimality
65,NashSeeker,0.36607957251956325,0.051476231046262415,0.33167681377170105,0.6339204274804368,0.5,DivideThePie3,Boulware,0.12832250306382775,n6dadxSzw,False,False,False,,8733082647294947570,0.9646694553560408,0.9646694553560408,1.0,1.0
66,RVFitter,0.6683344696840019,0.39047136220795425,0.45586554961974873,0.3316655303159981,0.5,DivideThePie3,RVFitter,3.5014663992915303,nieSTWujL,False,False,False,,-7221450630833496754,0.9990834975596059,0.9990834975596059,1.0,1.0
67,RVFitter,0.3316655303159981,0.051476231046262415,0.29539512708131344,0.6683344696840019,0.5,DivideThePie3,RVFitter,1.4190808990970254,nEQeYkuhx,False,False,False,,-7221450630833496754,0.9990834975596059,0.9990834975596059,1.0,1.0
68,RVFitter,0.6828191068280429,0.16548116243141012,0.6199236267738681,0.4898362489937345,0.5863276779108887,S5,NashSeeker,0.018766700057312846,newG7QLpb,False,False,False,,323302320476492677,1.0,1.0,1.0,1.0
69,NashSeeker,0.4898362489937345,0.12013854745135846,0.42017717729478316,0.6828191068280429,0.5863276779108887,S5,RVFitter,0.01242009992711246,nUjVINRzb,False,False,False,,323302320476492677,1.0,1.0,1.0,1.0
70,NashSeeker,0.3035065335397177,0.08748260015232343,0.23673404301491063,0.6920134339508006,0.49775998374525915,S6,RVFitter,0.027319999411702156,nb5iuCpdh,False,False,False,,-8154669144784040149,0.8734755617009322,0.7736453173737524,0.9215597254709892,1.0
71,RVFitter,0.6920134339508006,0.05073732679259073,0.6755517995787602,0.3035065335397177,0.49775998374525915,S6,NashSeeker,0.20303129963576794,n0dlqRn1i,False,False,False,,-8154669144784040149,0.8734755617009322,0.7736453173737524,0.9215597254709892,1.0
72,Linear,0.24608804502444664,0.24608804502444664,0.0,0.16169909259833515,0.2038935688113909,S1,MiCRO,0.11916790239047259,nMiKGwVi7,False,False,False,,-19411498966833393,0.7042982515651369,0.7042982515651369,0.40613293505949855,0.7043003788841224
73,MiCRO,0.16169909259833515,0.16169909259833515,0.0,0.24608804502444664,0.2038935688113909,S1,Linear,0.04872020205948502,nauWO5cB8,False,False,False,,-19411498966833393,0.7042982515651369,0.7042982515651369,0.40613293505949855,0.7043003788841224
74,MiCRO,0.16548116243141012,0.16548116243141012,0.0,0.12013854745135846,0.1428098549413843,S5,Group14,0.052589399623684585,n5k3nm9Su,False,False,False,,-7848832647295854334,0.5503807503908172,0.5503807503908172,0.2435666271976484,0.5503807503908172
75,Group14,0.12013854745135846,0.12013854745135846,0.0,0.16548116243141012,0.1428098549413843,S5,MiCRO,4.585413700900972,nFcr1ZkZP,False,False,False,,-7848832647295854334,0.5503807503908172,0.5503807503908172,0.2435666271976484,0.5503807503908172
76,RVFitter,0.24608804502444664,0.24608804502444664,0.0,0.16169909259833515,0.2038935688113909,S1,MiCRO,4.496669999090955,ndlfXTqAa,False,False,False,,4568192448863129034,0.7042982515651369,0.7042982515651369,0.40613293505949855,0.7043003788841224
77,MiCRO,0.16169909259833515,0.16169909259833515,0.0,0.24608804502444664,0.2038935688113909,S1,RVFitter,0.06368260050658137,nTzlSt23g,False,False,False,,4568192448863129034,0.7042982515651369,0.7042982515651369,0.40613293505949855,0.7043003788841224
